application,placement,law,repetition,operation,measure,count
deathstarbench_social_network,split,NC,1,compose_post,outcome_mismatches,0
deathstarbench_social_network,split,NC,1,compose_post,incompatible_attempts,56
deathstarbench_social_network,split,NC,1,compose_post,incompatible_with_independently_determined_outcome,56
deathstarbench_social_network,split,NC,1,compose_post,mechanism:confirmed_release_between_sample_and_target_execution,3
deathstarbench_social_network,split,NC,1,compose_post,mechanism:recent_release_precedes_negative_sample,3
deathstarbench_social_network,split,NC,1,compose_post,mechanism:transition_not_localized_in_window,50
deathstarbench_social_network,split,NC,1,read_home_timeline,attempts,1200
deathstarbench_social_network,split,NC,1,read_home_timeline,verification:whole_http_contract_from_primary_response_bytes,1200
deathstarbench_social_network,split,NC,1,read_home_timeline,outcome_independently_determined,1200
deathstarbench_social_network,split,NC,1,read_home_timeline,outcome_mismatches,0
deathstarbench_social_network,split,NC,1,read_user_timeline,attempts,1200
deathstarbench_social_network,split,NC,1,read_user_timeline,verification:whole_http_contract_from_primary_response_bytes,1200
deathstarbench_social_network,split,NC,1,read_user_timeline,outcome_independently_determined,1200
deathstarbench_social_network,split,NC,1,read_user_timeline,outcome_mismatches,0
opentelemetry_demo,colocated,N,3,add_to_cart,attempts,1200
opentelemetry_demo,colocated,N,3,add_to_cart,verification:whole_http_contract_from_primary_response_bytes,1200
opentelemetry_demo,colocated,N,3,add_to_cart,outcome_independently_determined,1200
opentelemetry_demo,colocated,N,3,add_to_cart,outcome_mismatches,0
opentelemetry_demo,colocated,N,3,browse_product,attempts,1200
opentelemetry_demo,colocated,N,3,browse_product,verification:whole_http_contract_from_primary_response_bytes,1200
opentelemetry_demo,colocated,N,3,browse_product,outcome_independently_determined,1200
opentelemetry_demo,colocated,N,3,browse_product,outcome_mismatches,0
opentelemetry_demo,colocated,N,3,checkout,attempts,1200
opentelemetry_demo,colocated,N,3,checkout,verification:whole_http_contract_from_primary_response_bytes,1200
opentelemetry_demo,colocated,N,3,checkout,outcome_independently_determined,1200
opentelemetry_demo,colocated,N,3,checkout,outcome_mismatches,0
opentelemetry_demo,colocated,NC,3,add_to_cart,attempts,1200
opentelemetry_demo,colocated,NC,3,add_to_cart,verification:whole_http_contract_from_primary_response_bytes,1200
opentelemetry_demo,colocated,NC,3,add_to_cart,outcome_independently_determined,1200
opentelemetry_demo,colocated,NC,3,add_to_cart,outcome_mismatches,0
opentelemetry_demo,colocated,NC,3,add_to_cart,incompatible_attempts,12
opentelemetry_demo,colocated,NC,3,add_to_cart,incompatible_with_independently_determined_outcome,12
opentelemetry_demo,colocated,NC,3,add_to_cart,mechanism:selected_identity_unresolved,2
opentelemetry_demo,colocated,NC,3,add_to_cart,mechanism:transition_not_localized_in_window,9
opentelemetry_demo,colocated,NC,3,add_to_cart,mechanism:recent_release_precedes_negative_sample,1
opentelemetry_demo,colocated,NC,3,browse_product,attempts,1200
opentelemetry_demo,colocated,NC,3,browse_product,verification:whole_http_contract_from_primary_response_bytes,1200
opentelemetry_demo,colocated,NC,3,browse_product,outcome_independently_determined,1200
opentelemetry_demo,colocated,NC,3,browse_product,outcome_mismatches,0
opentelemetry_demo,colocated,NC,3,browse_product,incompatible_attempts,10
opentelemetry_demo,colocated,NC,3,browse_product,incompatible_with_independently_determined_outcome,10
opentelemetry_demo,colocated,NC,3,browse_product,mechanism:transition_not_localized_in_window,8
opentelemetry_demo,colocated,NC,3,browse_product,mechanism:recent_release_precedes_negative_sample,2
opentelemetry_demo,colocated,NC,3,checkout,attempts,1200
opentelemetry_demo,colocated,NC,3,checkout,verification:whole_http_contract_from_primary_response_bytes,1200
opentelemetry_demo,colocated,NC,3,checkout,outcome_independently_determined,1200
opentelemetry_demo,colocated,NC,3,checkout,outcome_mismatches,0
opentelemetry_demo,colocated,NC,3,checkout,incompatible_attempts,12
opentelemetry_demo,colocated,NC,3,checkout,incompatible_with_independently_determined_outcome,12
opentelemetry_demo,colocated,NC,3,checkout,mechanism:confirmed_release_between_sample_and_target_execution,1
opentelemetry_demo,colocated,NC,3,checkout,mechanism:selected_identity_unresolved,1
opentelemetry_demo,colocated,NC,3,checkout,mechanism:transition_not_localized_in_window,6
opentelemetry_demo,colocated,NC,3,checkout,mechanism:recent_release_precedes_negative_sample,4
opentelemetry_demo,split,N,7,add_to_cart,attempts,1200
opentelemetry_demo,split,N,7,add_to_cart,verification:whole_http_contract_from_primary_response_bytes,1200
opentelemetry_demo,split,N,7,add_to_cart,outcome_independently_determined,1200
opentelemetry_demo,split,N,7,add_to_cart,outcome_mismatches,0
opentelemetry_demo,split,N,7,browse_product,attempts,1200
opentelemetry_demo,split,N,7,browse_product,verification:whole_http_contract_from_primary_response_bytes,1200
opentelemetry_demo,split,N,7,browse_product,outcome_independently_determined,1200
opentelemetry_demo,split,N,7,browse_product,outcome_mismatches,0
opentelemetry_demo,split,N,7,checkout,attempts,1200
opentelemetry_demo,split,N,7,checkout,verification:whole_http_contract_from_primary_response_bytes,1200
opentelemetry_demo,split,N,7,checkout,outcome_independently_determined,1200
opentelemetry_demo,split,N,7,checkout,outcome_mismatches,0
opentelemetry_demo,split,NCD,7,add_to_cart,attempts,1200
opentelemetry_demo,split,NCD,7,add_to_cart,verification:whole_http_contract_from_primary_response_bytes,1200
opentelemetry_demo,split,NCD,7,add_to_cart,outcome_independently_determined,1200
opentelemetry_demo,split,NCD,7,add_to_cart,outcome_mismatches,0
opentelemetry_demo,split,NCD,7,add_to_cart,incompatible_attempts,1
opentelemetry_demo,split,NCD,7,add_to_cart,incompatible_with_independently_determined_outcome,1
opentelemetry_demo,split,NCD,7,add_to_cart,mechanism:confirmed_release_between_sample_and_target_execution,1
opentelemetry_demo,split,NCD,7,browse_product,attempts,1200
opentelemetry_demo,split,NCD,7,browse_product,verification:whole_http_contract_from_primary_response_bytes,1200
opentelemetry_demo,split,NCD,7,browse_product,outcome_independently_determined,1200
opentelemetry_demo,split,NCD,7,browse_product,outcome_mismatches,0
opentelemetry_demo,split,NCD,7,browse_product,incompatible_attempts,1
opentelemetry_demo,split,NCD,7,browse_product,incompatible_with_independently_determined_outcome,1
opentelemetry_demo,split,NCD,7,browse_product,mechanism:recent_release_precedes_negative_sample,1
opentelemetry_demo,split,NCD,7,checkout,attempts,1200
opentelemetry_demo,split,NCD,7,checkout,verification:whole_http_contract_from_primary_response_bytes,1200
opentelemetry_demo,split,NCD,7,checkout,outcome_independently_determined,1200
opentelemetry_demo,split,NCD,7,checkout,outcome_mismatches,0
opentelemetry_demo,split,NCD,7,checkout,incompatible_attempts,11
opentelemetry_demo,split,NCD,7,checkout,incompatible_with_independently_determined_outcome,11
opentelemetry_demo,split,NCD,7,checkout,mechanism:recent_release_precedes_negative_sample,5
opentelemetry_demo,split,NCD,7,checkout,mechanism:confirmed_release_between_sample_and_target_execution,6
spring_petclinic_microservices,colocated,N,0,create_visit,attempts,900
spring_petclinic_microservices,colocated,N,0,create_visit,verification:ack_verified_persistence_primary_rows_not_retained,857
spring_petclinic_microservices,colocated,N,0,create_visit,outcome_not_independently_determined,857
spring_petclinic_microservices,colocated,N,0,create_visit,verification:write_failure_verified,43
spring_petclinic_microservices,colocated,N,0,create_visit,outcome_independently_determined,43
spring_petclinic_microservices,colocated,N,0,create_visit,outcome_mismatches,0
spring_petclinic_microservices,colocated,N,0,create_visit,incompatible_attempts,5
spring_petclinic_microservices,colocated,N,0,create_visit,incompatible_with_independently_determined_outcome,0
spring_petclinic_microservices,colocated,N,0,create_visit,mechanism:confirmed_release_between_sample_and_target_execution,4
spring_petclinic_microservices,colocated,N,0,create_visit,mechanism:recent_release_precedes_negative_sample,1
spring_petclinic_microservices,colocated,N,0,list_owners,attempts,900
spring_petclinic_microservices,colocated,N,0,list_owners,verification:parsed_primary_payload_against_pinned_SQL_fixture,900
spring_petclinic_microservices,colocated,N,0,list_owners,outcome_independently_determined,900
spring_petclinic_microservices,colocated,N,0,list_owners,outcome_mismatches,0
spring_petclinic_microservices,colocated,N,0,list_vets,attempts,900
spring_petclinic_microservices,colocated,N,0,list_vets,verification:parsed_primary_payload_against_pinned_SQL_fixture,900
spring_petclinic_microservices,colocated,N,0,list_vets,outcome_independently_determined,900
spring_petclinic_microservices,colocated,N,0,list_vets,outcome_mismatches,0
spring_petclinic_microservices,colocated,N,0,owner_details_with_visits,attempts,900
spring_petclinic_microservices,colocated,N,0,owner_details_with_visits,verification:parsed_primary_payload_against_pinned_SQL_fixture,900
spring_petclinic_microservices,colocated,N,0,owner_details_with_visits,outcome_independently_determined,900
spring_petclinic_microservices,colocated,N,0,owner_details_with_visits,outcome_mismatches,0
spring_petclinic_microservices,colocated,N,0,owner_details_with_visits,incompatible_attempts,8
spring_petclinic_microservices,colocated,N,0,owner_details_with_visits,incompatible_with_independently_determined_outcome,8
spring_petclinic_microservices,colocated,N,0,owner_details_with_visits,mechanism:confirmed_release_between_sample_and_target_execution,6
spring_petclinic_microservices,colocated,N,0,owner_details_with_visits,mechanism:recent_release_precedes_negative_sample,2
spring_petclinic_microservices,colocated,N,1,create_visit,attempts,900
spring_petclinic_microservices,colocated,N,1,create_visit,verification:ack_verified_persistence_primary_rows_not_retained,860
spring_petclinic_microservices,colocated,N,1,create_visit,outcome_not_independently_determined,860
spring_petclinic_microservices,colocated,N,1,create_visit,incompatible_attempts,6
spring_petclinic_microservices,colocated,N,1,create_visit,incompatible_with_independently_determined_outcome,0
spring_petclinic_microservices,colocated,N,1,create_visit,mechanism:confirmed_release_between_sample_and_target_execution,4
spring_petclinic_microservices,colocated,N,1,create_visit,verification:write_failure_verified,40
spring_petclinic_microservices,colocated,N,1,create_visit,outcome_independently_determined,40
spring_petclinic_microservices,colocated,N,1,create_visit,outcome_mismatches,0
spring_petclinic_microservices,colocated,N,1,create_visit,mechanism:recent_release_precedes_negative_sample,2
spring_petclinic_microservices,colocated,N,1,list_owners,attempts,900
spring_petclinic_microservices,colocated,N,1,list_owners,verification:parsed_primary_payload_against_pinned_SQL_fixture,900
spring_petclinic_microservices,colocated,N,1,list_owners,outcome_independently_determined,900
spring_petclinic_microservices,colocated,N,1,list_owners,outcome_mismatches,0
spring_petclinic_microservices,colocated,N,1,list_vets,attempts,900
spring_petclinic_microservices,colocated,N,1,list_vets,verification:parsed_primary_payload_against_pinned_SQL_fixture,900
spring_petclinic_microservices,colocated,N,1,list_vets,outcome_independently_determined,900
spring_petclinic_microservices,colocated,N,1,list_vets,outcome_mismatches,0
spring_petclinic_microservices,colocated,N,1,owner_details_with_visits,attempts,900
spring_petclinic_microservices,colocated,N,1,owner_details_with_visits,verification:parsed_primary_payload_against_pinned_SQL_fixture,900
spring_petclinic_microservices,colocated,N,1,owner_details_with_visits,outcome_independently_determined,900
spring_petclinic_microservices,colocated,N,1,owner_details_with_visits,outcome_mismatches,0
spring_petclinic_microservices,colocated,N,1,owner_details_with_visits,incompatible_attempts,2
spring_petclinic_microservices,colocated,N,1,owner_details_with_visits,incompatible_with_independently_determined_outcome,2
spring_petclinic_microservices,colocated,N,1,owner_details_with_visits,mechanism:confirmed_release_between_sample_and_target_execution,2
spring_petclinic_microservices,split,N,7,create_visit,attempts,900
spring_petclinic_microservices,split,N,7,create_visit,verification:ack_verified_persistence_primary_rows_not_retained,859
spring_petclinic_microservices,split,N,7,create_visit,outcome_not_independently_determined,859
spring_petclinic_microservices,split,N,7,create_visit,verification:write_failure_verified,41
spring_petclinic_microservices,split,N,7,create_visit,outcome_independently_determined,41
spring_petclinic_microservices,split,N,7,create_visit,outcome_mismatches,0
spring_petclinic_microservices,split,N,7,create_visit,incompatible_attempts,7
spring_petclinic_microservices,split,N,7,create_visit,incompatible_with_independently_determined_outcome,0
spring_petclinic_microservices,split,N,7,create_visit,mechanism:confirmed_release_between_sample_and_target_execution,5
spring_petclinic_microservices,split,N,7,create_visit,mechanism:recent_release_precedes_negative_sample,2
spring_petclinic_microservices,split,N,7,list_owners,attempts,900
spring_petclinic_microservices,split,N,7,list_owners,verification:parsed_primary_payload_against_pinned_SQL_fixture,900
spring_petclinic_microservices,split,N,7,list_owners,outcome_independently_determined,900
spring_petclinic_microservices,split,N,7,list_owners,outcome_mismatches,0
spring_petclinic_microservices,split,N,7,list_vets,attempts,900
spring_petclinic_microservices,split,N,7,list_vets,verification:parsed_primary_payload_against_pinned_SQL_fixture,900
spring_petclinic_microservices,split,N,7,list_vets,outcome_independently_determined,900
spring_petclinic_microservices,split,N,7,list_vets,outcome_mismatches,0
spring_petclinic_microservices,split,N,7,owner_details_with_visits,attempts,900
spring_petclinic_microservices,split,N,7,owner_details_with_visits,verification:parsed_primary_payload_against_pinned_SQL_fixture,900
spring_petclinic_microservices,split,N,7,owner_details_with_visits,outcome_independently_determined,900
spring_petclinic_microservices,split,N,7,owner_details_with_visits,outcome_mismatches,0
spring_petclinic_microservices,split,N,7,owner_details_with_visits,incompatible_attempts,4
spring_petclinic_microservices,split,N,7,owner_details_with_visits,incompatible_with_independently_determined_outcome,4
spring_petclinic_microservices,split,N,7,owner_details_with_visits,mechanism:confirmed_release_between_sample_and_target_execution,3
spring_petclinic_microservices,split,N,7,owner_details_with_visits,mechanism:recent_release_precedes_negative_sample,1
spring_petclinic_microservices,split,NCD,7,create_visit,attempts,900
spring_petclinic_microservices,split,NCD,7,create_visit,verification:ack_verified_persistence_primary_rows_not_retained,793
spring_petclinic_microservices,split,NCD,7,create_visit,outcome_not_independently_determined,793
spring_petclinic_microservices,split,NCD,7,create_visit,verification:write_failure_verified,107
spring_petclinic_microservices,split,NCD,7,create_visit,outcome_independently_determined,107
spring_petclinic_microservices,split,NCD,7,create_visit,outcome_mismatches,0
spring_petclinic_microservices,split,NCD,7,create_visit,incompatible_attempts,15
spring_petclinic_microservices,split,NCD,7,create_visit,incompatible_with_independently_determined_outcome,0
spring_petclinic_microservices,split,NCD,7,create_visit,mechanism:confirmed_release_between_sample_and_target_execution,10
spring_petclinic_microservices,split,NCD,7,create_visit,mechanism:recent_release_precedes_negative_sample,5
spring_petclinic_microservices,split,NCD,7,list_owners,attempts,900
spring_petclinic_microservices,split,NCD,7,list_owners,verification:parsed_primary_payload_against_pinned_SQL_fixture,900
spring_petclinic_microservices,split,NCD,7,list_owners,outcome_independently_determined,900
spring_petclinic_microservices,split,NCD,7,list_owners,outcome_mismatches,0
spring_petclinic_microservices,split,NCD,7,list_vets,attempts,900
spring_petclinic_microservices,split,NCD,7,list_vets,verification:parsed_primary_payload_against_pinned_SQL_fixture,900
spring_petclinic_microservices,split,NCD,7,list_vets,outcome_independently_determined,900
spring_petclinic_microservices,split,NCD,7,list_vets,outcome_mismatches,0
spring_petclinic_microservices,split,NCD,7,owner_details_with_visits,attempts,900
spring_petclinic_microservices,split,NCD,7,owner_details_with_visits,verification:parsed_primary_payload_against_pinned_SQL_fixture,900
spring_petclinic_microservices,split,NCD,7,owner_details_with_visits,outcome_independently_determined,900
spring_petclinic_microservices,split,NCD,7,owner_details_with_visits,outcome_mismatches,0
spring_petclinic_microservices,split,NCD,7,owner_details_with_visits,incompatible_attempts,20
spring_petclinic_microservices,split,NCD,7,owner_details_with_visits,incompatible_with_independently_determined_outcome,20
spring_petclinic_microservices,split,NCD,7,owner_details_with_visits,mechanism:confirmed_release_between_sample_and_target_execution,12
spring_petclinic_microservices,split,NCD,7,owner_details_with_visits,mechanism:recent_release_precedes_negative_sample,8
