case_id,axis,parameters,representation,phase,ours_direct_median_ms,ours_direct_qualified_rounds,ours_prepared_median_ms,ours_prepared_qualified_rounds,cudd_fixed_median_ms,cudd_fixed_qualified_rounds,cudd_sift_median_ms,cudd_sift_qualified_rounds,agrum_conditioned_median_ms,agrum_conditioned_qualified_rounds,agrum_joint_median_ms,agrum_joint_qualified_rounds,storm_sparse_median_ms,storm_sparse_qualified_rounds,storm_compact_median_ms,storm_compact_qualified_rounds
01-graph_nodes,graph_nodes,"{""nodes"": 8}",completion_projected,counts,1.248649,3,0.59446,3,0.659148,3,0.751347,3,8.37974,3,2.307702,3,2.239399,3,1.151943,3
01-graph_nodes,graph_nodes,"{""nodes"": 8}",completion_projected,masks,1.297253,3,0.579037,3,0.667841,3,0.74017,3,11.156051,3,6.749153,3,4.029427,3,3.274224,3
01-graph_nodes,graph_nodes,"{""nodes"": 8}",completion_projected,metadata,1.281729,3,0.57469,3,0.664315,3,0.718257,3,8.353292,3,2.2928,3,2.059947,3,0.97857,3
01-graph_nodes,graph_nodes,"{""nodes"": 8}",completion_projected,structure,1.302521,3,49.945707,3,0.756675,3,1.082438,3,17.503059,3,12.747649,3,4.133436,3,3.256237,3
01-graph_nodes,graph_nodes,"{""nodes"": 8}",completion_projected,restore,1.215699,3,46.340102,3,0.716734,3,1.220638,3,16.918044,3,12.458655,3,3.910878,3,3.764878,3
02-graph_nodes,graph_nodes,"{""nodes"": 16}",original,initial,1.740394,3,80.868366,3,4.1633,3,5.224225,3,29.720786,3,22.761268,3,8.201543,3,7.148607,3
02-graph_nodes,graph_nodes,"{""nodes"": 16}",original,repeat,1.568574,3,0.511113,3,0.6278,3,0.698216,3,11.435697,3,2.194361,3,2.926809,3,1.420449,3
02-graph_nodes,graph_nodes,"{""nodes"": 16}",original,counts,1.537978,3,0.497373,3,0.602532,3,0.668392,3,11.186029,3,2.166078,3,3.091008,3,1.461482,3
02-graph_nodes,graph_nodes,"{""nodes"": 16}",original,masks,1.659101,3,0.537264,3,0.650364,3,0.7139,3,16.902992,3,9.908736,3,6.342448,3,5.905266,3
02-graph_nodes,graph_nodes,"{""nodes"": 16}",original,metadata,1.627172,3,0.471343,3,0.625216,3,0.682443,3,11.072405,3,2.19391,3,2.864596,3,1.247138,3
02-graph_nodes,graph_nodes,"{""nodes"": 16}",original,structure,1.699292,3,84.021768,3,0.837578,3,1.425127,3,31.628293,3,24.85797,3,7.026874,3,5.349647,3
02-graph_nodes,graph_nodes,"{""nodes"": 16}",original,restore,1.555174,3,80.602636,3,0.751366,3,1.889509,3,31.031303,3,24.029978,3,6.253774,3,5.269665,3
02-graph_nodes,graph_nodes,"{""nodes"": 16}",completion_projected,initial,1.887237,3,64.596152,3,4.315411,3,4.980767,3,21.278003,3,16.491898,3,6.361527,3,5.516798,3
02-graph_nodes,graph_nodes,"{""nodes"": 16}",completion_projected,repeat,1.700043,3,0.749003,3,0.785529,3,0.880803,3,8.888621,3,2.423307,3,2.196704,3,1.217553,3
02-graph_nodes,graph_nodes,"{""nodes"": 16}",completion_projected,counts,1.700213,3,0.719659,3,0.757436,3,0.844718,3,8.815852,3,2.367012,3,2.356657,3,1.26861,3
02-graph_nodes,graph_nodes,"{""nodes"": 16}",completion_projected,masks,1.758611,3,0.750887,3,0.760671,3,0.840722,3,12.13769,3,7.445999,3,4.697289,3,3.708773,3
02-graph_nodes,graph_nodes,"{""nodes"": 16}",completion_projected,metadata,1.820124,3,0.717626,3,0.742704,3,0.81942,3,8.929935,3,2.404088,3,2.149032,3,1.13655,3
02-graph_nodes,graph_nodes,"{""nodes"": 16}",completion_projected,structure,1.78386,3,67.069935,3,0.9379,3,1.286597,3,22.584311,3,17.542408,3,4.675035,3,3.715633,3
02-graph_nodes,graph_nodes,"{""nodes"": 16}",completion_projected,restore,1.699281,3,63.926719,3,0.939251,3,1.416624,3,21.812502,3,16.913776,3,4.624939,3,4.289252,3
03-graph_nodes,graph_nodes,"{""nodes"": 32}",original,initial,2.547805,3,131.208348,3,3.749044,3,4.935179,3,47.61205,3,40.146994,3,11.646546,3,10.971665,3
03-graph_nodes,graph_nodes,"{""nodes"": 32}",original,repeat,2.370918,3,0.649232,3,0.763205,3,0.827893,3,12.883569,3,2.262314,3,3.983578,3,1.880015,3
03-graph_nodes,graph_nodes,"{""nodes"": 32}",original,counts,2.364669,3,0.593589,3,0.723315,3,0.794852,3,12.783225,3,2.194481,3,4.268119,3,1.985715,3
03-graph_nodes,graph_nodes,"{""nodes"": 32}",original,masks,2.620756,3,0.566567,3,1.358296,3,1.442293,3,22.166684,3,14.038235,3,10.329402,3,8.667527,3
03-graph_nodes,graph_nodes,"{""nodes"": 32}",original,metadata,2.55723,3,0.573238,3,0.778769,3,0.864057,3,12.79283,3,2.217135,3,3.83855,3,1.825673,3
03-graph_nodes,graph_nodes,"{""nodes"": 32}",original,structure,2.532814,3,133.528488,3,1.269221,3,2.261282,3,55.34357,3,46.045189,3,9.882857,3,8.682879,3
03-graph_nodes,graph_nodes,"{""nodes"": 32}",original,restore,2.360622,3,130.480758,3,1.183441,3,2.615558,3,53.582735,3,45.208106,3,9.715002,3,8.565513,3
03-graph_nodes,graph_nodes,"{""nodes"": 32}",completion_projected,initial,2.752535,3,95.162924,3,4.783689,3,5.440273,3,30.213877,3,24.985032,3,8.087109,3,7.204773,3
03-graph_nodes,graph_nodes,"{""nodes"": 32}",completion_projected,repeat,2.622729,3,0.99822,3,0.995056,3,1.088196,3,9.720312,3,2.711754,3,2.43834,3,1.356443,3
03-graph_nodes,graph_nodes,"{""nodes"": 32}",completion_projected,counts,2.583129,3,0.921495,3,0.946563,3,1.042707,3,9.344753,3,2.627307,3,2.519423,3,1.464105,3
03-graph_nodes,graph_nodes,"{""nodes"": 32}",completion_projected,masks,2.772927,3,0.93837,3,1.036129,3,1.090961,3,14.213408,3,8.97403,3,6.212733,3,5.533283,3
03-graph_nodes,graph_nodes,"{""nodes"": 32}",completion_projected,metadata,2.725695,3,0.952071,3,0.963959,3,1.03723,3,9.53518,3,2.646626,3,2.376376,3,1.329151,3
03-graph_nodes,graph_nodes,"{""nodes"": 32}",completion_projected,structure,2.790974,3,98.263746,3,1.468202,3,1.809278,3,32.162915,3,27.026201,3,6.369029,3,6.008011,3
03-graph_nodes,graph_nodes,"{""nodes"": 32}",completion_projected,restore,3.415909,3,94.222911,3,1.421121,3,1.893836,3,31.373647,3,26.344967,3,6.870877,3,5.39833,3
04-graph_nodes,graph_nodes,"{""nodes"": 48}",original,initial,3.377872,3,180.436412,3,5.070324,3,7.221699,3,70.380331,3,60.992534,3,16.179407,3,15.419844,3
04-graph_nodes,graph_nodes,"{""nodes"": 48}",original,repeat,3.193694,3,0.755083,3,0.914264,3,0.980914,3,14.685894,3,2.314552,3,5.046266,3,2.362305,3
04-graph_nodes,graph_nodes,"{""nodes"": 48}",original,counts,3.20487,3,0.683064,3,0.854093,3,0.924699,3,14.44593,3,2.261332,3,5.157434,3,2.473603,3
04-graph_nodes,graph_nodes,"{""nodes"": 48}",original,masks,3.487819,3,0.666048,3,0.986232,3,1.057991,3,27.518495,3,18.677297,3,13.675044,3,12.763006,3
04-graph_nodes,graph_nodes,"{""nodes"": 48}",original,metadata,3.471073,3,0.694541,3,0.960584,3,1.01088,3,14.47124,3,2.298488,3,4.913797,3,2.24695,3
04-graph_nodes,graph_nodes,"{""nodes"": 48}",original,structure,4.213787,3,180.991272,3,1.931403,3,3.201074,3,83.638997,3,73.169592,3,13.842941,3,13.237712,3
04-graph_nodes,graph_nodes,"{""nodes"": 48}",original,restore,3.177979,3,179.480075,3,1.76429,3,3.732649,3,82.668518,3,73.187499,3,13.628015,3,13.552008,3
04-graph_nodes,graph_nodes,"{""nodes"": 48}",completion_projected,initial,3.718888,3,128.791609,3,5.335345,3,5.25295,3,39.744437,3,35.283156,3,10.161818,3,9.357862,3
04-graph_nodes,graph_nodes,"{""nodes"": 48}",completion_projected,repeat,3.505546,3,1.219165,3,1.199064,3,1.296382,3,9.541318,3,2.887409,3,2.677923,3,1.5661,3
04-graph_nodes,graph_nodes,"{""nodes"": 48}",completion_projected,counts,3.458133,3,1.153475,3,1.154607,3,1.231163,3,9.427606,3,2.810153,3,2.774609,3,1.669597,3
04-graph_nodes,graph_nodes,"{""nodes"": 48}",completion_projected,masks,3.742614,3,2.114169,3,1.16914,3,1.234929,3,15.728995,3,10.58472,3,8.493683,3,8.144316,3
04-graph_nodes,graph_nodes,"{""nodes"": 48}",completion_projected,metadata,4.40763,3,1.172654,3,1.220547,3,1.32157,3,9.523862,3,2.876784,3,2.595297,3,1.543366,3
04-graph_nodes,graph_nodes,"{""nodes"": 48}",completion_projected,structure,3.708233,3,130.354877,3,2.07482,3,2.415695,3,43.988904,3,38.898381,3,9.056725,3,7.606942,3
04-graph_nodes,graph_nodes,"{""nodes"": 48}",completion_projected,restore,3.518525,3,126.269956,3,2.095621,3,2.55007,3,42.881736,3,38.36161,3,8.426642,3,7.428241,3
05-completions,completions,"{""completions"": 4, ""nodes"": 4}",original,initial,1.224323,3,44.179863,3,3.877097,3,4.456615,3,17.14646,3,12.184139,3,5.75533,3,4.86306,3
05-completions,completions,"{""completions"": 4, ""nodes"": 4}",original,repeat,0.942496,3,0.448869,3,0.512526,3,0.581551,3,8.815291,3,2.204186,3,2.109453,3,0.945,3
05-completions,completions,"{""completions"": 4, ""nodes"": 4}",original,counts,0.907373,3,0.417341,3,0.507398,3,0.557444,3,8.661749,3,2.129182,3,2.268573,3,1.065233,3
05-completions,completions,"{""completions"": 4, ""nodes"": 4}",original,masks,0.962207,3,0.415288,3,0.518985,3,0.554229,3,11.324628,3,6.695983,3,4.0373,3,3.202957,3
05-completions,completions,"{""completions"": 4, ""nodes"": 4}",original,metadata,0.954024,3,0.400726,3,0.569872,3,0.621861,3,8.551751,3,2.114189,3,2.037423,3,0.897598,3
05-completions,completions,"{""completions"": 4, ""nodes"": 4}",original,structure,0.995406,3,46.113579,3,0.582001,3,0.992883,3,17.020469,3,11.997516,3,4.164683,3,3.193183,3
05-completions,completions,"{""completions"": 4, ""nodes"": 4}",original,restore,0.901785,3,42.98893,3,0.553909,3,1.184232,3,16.338498,3,11.476438,3,3.890969,3,3.671776,3
05-completions,completions,"{""completions"": 4, ""nodes"": 4}",completion_projected,initial,1.305465,3,38.429279,3,3.975487,3,4.601955,3,15.588853,3,11.171516,3,5.44529,3,4.670398,3
05-completions,completions,"{""completions"": 4, ""nodes"": 4}",completion_projected,repeat,1.071472,3,0.567259,3,0.715553,3,0.789735,3,8.389157,3,2.317267,3,2.111085,3,1.036659,3
05-completions,completions,"{""completions"": 4, ""nodes"": 4}",completion_projected,counts,1.009458,3,0.535571,3,0.609423,3,0.683124,3,8.375346,3,2.248232,3,2.174911,3,1.113195,3
05-completions,completions,"{""completions"": 4, ""nodes"": 4}",completion_projected,masks,1.048387,3,0.508399,3,0.592397,3,0.681692,3,10.746314,3,6.13877,3,3.70042,3,2.970756,3
05-completions,completions,"{""completions"": 4, ""nodes"": 4}",completion_projected,metadata,1.066463,3,0.511043,3,0.588311,3,0.665517,3,8.460914,3,2.265078,3,1.98935,3,0.928235,3
05-completions,completions,"{""completions"": 4, ""nodes"": 4}",completion_projected,structure,1.071642,3,41.172782,3,0.695522,3,1.005501,3,15.708991,3,11.101269,3,3.777066,3,3.024948,3
05-completions,completions,"{""completions"": 4, ""nodes"": 4}",completion_projected,restore,0.990679,3,37.573234,3,0.641791,3,1.111903,3,14.942242,3,10.617459,3,3.715142,3,3.474438,3
06-completions,completions,"{""completions"": 8, ""nodes"": 4}",original,initial,1.210852,3,57.073353,3,3.092109,3,3.795304,3,21.329961,3,15.843657,3,6.550894,3,5.613745,3
06-completions,completions,"{""completions"": 8, ""nodes"": 4}",original,repeat,1.057531,3,0.450872,3,0.560589,3,0.616022,3,9.853531,3,2.161622,3,2.410247,3,1.031561,3
06-completions,completions,"{""completions"": 8, ""nodes"": 4}",original,counts,1.016638,3,0.445193,3,0.612777,3,0.684045,3,10.020445,3,2.128581,3,2.550009,3,1.143821,3
06-completions,completions,"{""completions"": 8, ""nodes"": 4}",original,masks,1.078642,3,0.416901,3,0.553638,3,0.624054,3,13.426809,3,7.838462,3,4.71127,3,3.876927,3
06-completions,completions,"{""completions"": 8, ""nodes"": 4}",original,metadata,1.072923,3,0.417663,3,0.540598,3,0.613688,3,9.776555,3,2.10789,3,2.314934,3,0.96469,3
06-completions,completions,"{""completions"": 8, ""nodes"": 4}",original,structure,1.084792,3,59.152976,3,0.647009,3,1.138103,3,22.678952,3,16.63272,3,4.839364,3,4.536806,3
06-completions,completions,"{""completions"": 8, ""nodes"": 4}",original,restore,0.990789,3,56.554834,3,0.594801,3,1.270423,3,22.042158,3,16.122189,3,4.646582,3,3.77285,3
06-completions,completions,"{""completions"": 8, ""nodes"": 4}",completion_projected,initial,1.320539,3,48.48328,3,4.121768,3,3.871089,3,18.092299,3,13.160757,3,5.791684,3,4.872394,3
06-completions,completions,"{""completions"": 8, ""nodes"": 4}",completion_projected,repeat,1.145584,3,0.615021,3,0.685217,3,0.761232,3,8.808982,3,2.321413,3,2.124315,3,0.983518,3
06-completions,completions,"{""completions"": 8, ""nodes"": 4}",completion_projected,counts,1.129008,3,0.580819,3,0.652317,3,0.731407,3,8.818114,3,2.276154,3,2.256144,3,1.113795,3
06-completions,completions,"{""completions"": 8, ""nodes"": 4}",completion_projected,masks,1.162399,3,0.572526,3,0.661822,3,0.738308,3,11.586695,3,6.688222,3,4.011201,3,3.182537,3
06-completions,completions,"{""completions"": 8, ""nodes"": 4}",completion_projected,metadata,1.144432,3,0.569983,3,0.652748,3,0.711767,3,8.746837,3,2.285379,3,2.075351,3,0.94521,3
06-completions,completions,"{""completions"": 8, ""nodes"": 4}",completion_projected,structure,1.192714,3,50.862706,3,0.743596,3,1.073084,3,18.223707,3,13.188738,3,4.115658,3,3.199742,3
06-completions,completions,"{""completions"": 8, ""nodes"": 4}",completion_projected,restore,1.107196,3,47.928395,3,0.699378,3,1.260999,3,17.692105,3,12.867031,3,3.936087,3,3.696183,3
07-completions,completions,"{""completions"": 16, ""nodes"": 4}",original,initial,1.398286,3,74.221723,3,4.06759,3,4.151021,3,27.533276,3,21.156584,3,7.780174,3,6.742653,3
07-completions,completions,"{""completions"": 16, ""nodes"": 4}",original,repeat,1.227998,3,0.50213,3,0.623393,3,0.690676,3,10.97591,3,2.197826,3,2.925316,3,1.274328,3
07-completions,completions,"{""completions"": 16, ""nodes"": 4}",original,counts,1.187067,3,0.481469,3,0.592526,3,0.666879,3,11.045926,3,2.16772,3,3.07939,3,1.400099,3
07-completions,completions,"{""completions"": 16, ""nodes"": 4}",original,masks,1.264774,3,0.471233,3,0.636052,3,0.717827,3,15.841293,3,9.433866,3,6.022404,3,5.593365,3
07-completions,completions,"{""completions"": 16, ""nodes"": 4}",original,metadata,1.258264,3,0.463041,3,0.645366,3,0.691227,3,10.93062,3,2.162683,3,2.838696,3,1.227739,3
07-completions,completions,"{""completions"": 16, ""nodes"": 4}",original,structure,1.258775,3,77.545309,3,0.765378,3,1.319848,3,29.827866,3,23.165846,3,6.615861,3,5.033337,3
07-completions,completions,"{""completions"": 16, ""nodes"": 4}",original,restore,1.18927,3,74.301591,3,0.675933,3,1.487231,3,28.625461,3,22.422399,3,5.960409,3,4.952154,3
07-completions,completions,"{""completions"": 16, ""nodes"": 4}",completion_projected,initial,1.537807,3,56.604935,3,3.401517,3,3.97178,3,19.740655,3,15.040231,3,6.113812,3,5.146498,3
07-completions,completions,"{""completions"": 16, ""nodes"": 4}",completion_projected,repeat,1.35407,3,0.694992,3,0.745128,3,0.842896,3,8.896333,3,2.437429,3,2.229123,3,1.082548,3
07-completions,completions,"{""completions"": 16, ""nodes"": 4}",completion_projected,counts,1.3214,3,0.670725,3,0.712227,3,0.805318,3,8.824763,3,2.390157,3,2.350637,3,1.187287,3
07-completions,completions,"{""completions"": 16, ""nodes"": 4}",completion_projected,masks,1.356432,3,0.659988,3,0.728173,3,0.787492,3,11.836834,3,6.995146,3,4.287448,3,3.45567,3
07-completions,completions,"{""completions"": 16, ""nodes"": 4}",completion_projected,metadata,1.360529,3,0.662312,3,0.717195,3,0.771217,3,8.820026,3,2.382145,3,2.177856,3,1.146255,3
07-completions,completions,"{""completions"": 16, ""nodes"": 4}",completion_projected,structure,1.376212,3,60.120825,3,0.838239,3,1.153746,3,20.832357,3,15.79213,3,4.376563,3,3.401958,3
07-completions,completions,"{""completions"": 16, ""nodes"": 4}",completion_projected,restore,1.343163,3,56.084126,3,0.798829,3,1.342822,3,19.920347,3,15.139592,3,4.239495,3,3.951811,3
08-completions,completions,"{""completions"": 32, ""nodes"": 4}",original,initial,1.734456,3,105.912961,3,4.372998,3,5.459002,3,40.210344,3,32.54694,3,10.433588,3,9.640869,3
08-completions,completions,"{""completions"": 32, ""nodes"": 4}",original,repeat,1.561715,3,0.657044,3,0.75329,3,0.821614,3,12.941245,3,2.2187,3,4.00905,3,1.838652,3
08-completions,completions,"{""completions"": 32, ""nodes"": 4}",original,counts,1.538959,3,0.606148,3,0.711857,3,0.77367,3,12.769166,3,2.170977,3,4.133255,3,1.98272,3
08-completions,completions,"{""completions"": 32, ""nodes"": 4}",original,masks,1.623066,3,0.569182,3,1.352156,3,1.366478,3,20.779255,3,13.055279,3,9.007802,3,7.278554,3
08-completions,completions,"{""completions"": 32, ""nodes"": 4}",original,metadata,1.650419,3,0.554559,3,0.77956,3,0.837277,3,12.785519,3,2.234562,3,3.807926,3,1.716958,3
08-completions,completions,"{""completions"": 32, ""nodes"": 4}",original,structure,1.701357,3,109.474204,3,0.921986,3,1.834837,3,44.960052,3,36.946711,3,8.468114,3,7.369412,3
08-completions,completions,"{""completions"": 32, ""nodes"": 4}",original,restore,1.540241,3,106.154433,3,0.842987,3,1.904171,3,44.198398,3,36.486602,3,8.353069,3,7.194757,3
08-completions,completions,"{""completions"": 32, ""nodes"": 4}",completion_projected,initial,1.894627,3,69.65736,3,4.464236,3,4.946927,3,23.183782,3,18.520037,3,6.679908,3,5.754828,3
08-completions,completions,"{""completions"": 32, ""nodes"": 4}",completion_projected,repeat,1.754346,3,0.934586,3,0.931331,3,1.006113,3,8.935631,3,2.594869,3,2.402906,3,1.245005,3
08-completions,completions,"{""completions"": 32, ""nodes"": 4}",completion_projected,counts,1.686893,3,0.850788,3,0.874875,3,0.968877,3,8.835369,3,2.518514,3,2.487444,3,1.382682,3
08-completions,completions,"{""completions"": 32, ""nodes"": 4}",completion_projected,masks,1.785061,3,0.846782,3,0.929237,3,0.965731,3,12.487239,3,7.668324,3,4.92622,3,4.037794,3
08-completions,completions,"{""completions"": 32, ""nodes"": 4}",completion_projected,metadata,1.811491,3,0.829465,3,0.884879,3,0.934115,3,9.029772,3,2.616519,3,2.313261,3,1.223212,3
08-completions,completions,"{""completions"": 32, ""nodes"": 4}",completion_projected,structure,1.794105,3,72.560206,3,1.082388,3,1.420521,3,25.129722,3,19.927284,3,4.958098,3,4.630868,3
08-completions,completions,"{""completions"": 32, ""nodes"": 4}",completion_projected,restore,1.670288,3,69.877103,3,1.046345,3,1.53962,3,23.865179,3,19.613622,3,4.775015,3,3.90586,3
09-completions,completions,"{""completions"": 48, ""nodes"": 4}",original,initial,2.159989,3,140.37308,3,4.540731,3,6.092248,3,54.766754,3,45.835567,3,13.297931,3,12.496798,3
09-completions,completions,"{""completions"": 48, ""nodes"": 4}",original,repeat,1.955892,3,0.670555,3,0.869596,3,0.940573,3,15.306054,3,2.267644,3,5.064995,3,2.257936,3
09-completions,completions,"{""completions"": 48, ""nodes"": 4}",original,counts,1.910891,3,0.640119,3,0.826901,3,1.456864,3,14.948739,3,2.223847,3,5.137383,3,2.452281,3
09-completions,completions,"{""completions"": 48, ""nodes"": 4}",original,masks,2.069662,3,0.626348,3,1.492258,3,0.982636,3,26.294737,3,16.78028,3,10.873302,3,9.878538,3
09-completions,completions,"{""completions"": 48, ""nodes"": 4}",original,metadata,2.101962,3,0.63449,3,0.919592,3,0.985451,3,15.02319,3,2.287181,3,4.928086,3,2.18567,3
09-completions,completions,"{""completions"": 48, ""nodes"": 4}",original,structure,2.06102,3,145.004818,3,1.184292,3,2.318197,3,64.456629,3,54.333236,3,10.845964,3,10.204954,3
09-completions,completions,"{""completions"": 48, ""nodes"": 4}",original,restore,1.873035,3,139.55488,3,0.991289,3,2.354592,3,63.270393,3,53.720009,3,10.782218,3,10.624379,3
09-completions,completions,"{""completions"": 48, ""nodes"": 4}",completion_projected,initial,2.291288,3,83.304208,3,4.56038,3,5.191886,3,27.519257,3,22.501596,3,7.264955,3,6.394906,3
09-completions,completions,"{""completions"": 48, ""nodes"": 4}",completion_projected,repeat,2.135851,3,1.077681,3,1.120215,3,1.165273,3,9.56193,3,2.80679,3,2.57686,3,1.40037,3
09-completions,completions,"{""completions"": 48, ""nodes"": 4}",completion_projected,counts,2.065185,3,1.020634,3,1.059814,3,1.11087,3,9.420956,3,2.702519,3,2.696003,3,1.489655,3
09-completions,completions,"{""completions"": 48, ""nodes"": 4}",completion_projected,masks,2.173539,3,1.026873,3,1.120826,3,1.167016,3,13.496647,3,8.33418,3,5.573152,3,5.226149,3
09-completions,completions,"{""completions"": 48, ""nodes"": 4}",completion_projected,metadata,2.168532,3,1.952825,3,1.055838,3,1.10362,3,9.590743,3,2.716681,3,2.496207,3,1.423766,3
09-completions,completions,"{""completions"": 48, ""nodes"": 4}",completion_projected,structure,2.183507,3,86.381114,3,1.242481,3,1.547041,3,29.623652,3,24.323963,3,6.150274,3,4.626349,3
09-completions,completions,"{""completions"": 48, ""nodes"": 4}",completion_projected,restore,2.780999,3,83.023106,3,1.187687,3,1.707604,3,28.503006,3,23.530282,3,5.372982,3,4.50033,3
10-unknown_controls,unknown_controls,"{""nodes"": 8, ""unknown"": 0}",original,initial,0.767231,3,54.99607,3,3.073841,3,3.82715,3,20.608248,3,15.272489,3,4.423124,3,3.895544,3
10-unknown_controls,unknown_controls,"{""nodes"": 8, ""unknown"": 0}",original,repeat,0.620008,3,0.45638,3,0.629142,3,0.708452,3,9.401478,3,2.138276,3,1.624097,3,0.855544,3
10-unknown_controls,unknown_controls,"{""nodes"": 8, ""unknown"": 0}",original,counts,0.603813,3,0.45006,3,0.529211,3,0.618926,3,9.303909,3,2.10152,3,1.718752,3,1.00463,3
10-unknown_controls,unknown_controls,"{""nodes"": 8, ""unknown"": 0}",original,masks,0.657815,3,0.433707,3,0.569181,3,0.632537,3,12.996277,3,7.805893,3,2.709491,3,2.288442,3
10-unknown_controls,unknown_controls,"{""nodes"": 8, ""unknown"": 0}",original,metadata,0.641861,3,0.432164,3,0.551083,3,0.618446,3,9.262807,3,2.134991,3,1.556034,3,0.841403,3
10-unknown_controls,unknown_controls,"{""nodes"": 8, ""unknown"": 0}",original,structure,0.649933,3,57.340529,3,0.666599,3,1.129128,3,22.024288,3,16.365165,3,2.716962,3,2.182012,3
